track,start_cus,end_cus,on_critical_path,is_simple_vote
1,172200,174300,false,true
0,174300,176400,false,true
1,174300,176400,false,true
0,176400,178500,false,true
1,176400,178500,false,true
0,178500,180600,false,true
1,178500,180600,false,true
0,180600,182700,false,true
1,180600,182700,false,true
0,182700,184800,false,true
1,182700,184800,false,true
0,184800,186900,false,true
1,184800,186900,false,true
0,186900,189000,false,true
1,186900,189000,false,true
0,189000,191100,false,true
1,189000,191100,false,true
0,191100,193200,false,true
1,191100,193200,false,true
0,193200,195300,false,true
1,193200,195300,false,true
0,195300,197400,false,true
1,195300,197400,false,true
0,197400,199500,false,true
1,197400,199500,false,true
0,199500,201600,false,true
3,936873,1008208,false,false
3,1008208,1155526,false,false
1,199500,201600,false,true
0,201600,203700,false,true
0,1027931,1199662,false,false
2,1015785,1199850,false,false
1,1072544,1265608,false,false
1,201600,203700,false,true
0,203700,205800,false,true
1,203700,205800,false,true
0,205800,207900,false,true
1,205800,207900,false,true
0,207900,210000,false,true
1,207900,210000,false,true
0,210000,212100,false,true
1,210000,212100,false,true
0,212100,214200,false,true
1,212100,214200,false,true
0,214200,216300,false,true
1,214200,216300,false,true
0,216300,218400,false,true
1,216300,218400,false,true
0,218400,220500,false,true
1,218400,220500,false,true
0,220500,222600,false,true
1,220500,222600,false,true
0,222600,224700,false,true
1,222600,224700,false,true
0,224700,226800,false,true
1,224700,226800,false,true
0,226800,228900,false,true
1,226800,228900,false,true
0,228900,231000,false,true
1,228900,231000,false,true
0,231000,233100,false,true
1,231000,233100,false,true
0,233100,235200,false,true
1,233100,235200,false,true
0,235200,237300,false,true
1,235200,237300,false,true
0,237300,239400,false,true
1,237300,239400,false,true
0,239400,241500,false,true
1,239400,241500,false,true
0,241500,243600,false,true
3,1155526,1332091,false,false
0,1199662,1364940,false,false
2,1199850,1392916,false,false
1,1265608,1297997,false,false
3,1332091,1505657,false,false
1,241500,243600,false,true
0,243600,245700,false,true
1,243600,245700,false,true
0,245700,247800,false,true
1,245700,247800,false,true
0,247800,249900,false,true
1,247800,249900,false,true
0,249900,252000,false,true
1,249900,252000,false,true
0,252000,254100,false,true
1,252000,254100,false,true
0,254100,256200,false,true
1,254100,256200,false,true
0,256200,258300,false,true
1,256200,258300,false,true
0,258300,260400,false,true
1,258300,260400,false,true
0,260400,262500,false,true
1,260400,262500,false,true
0,262500,264600,false,true
1,262500,264600,false,true
0,264600,266700,false,true
1,264600,266700,false,true
0,266700,268800,false,true
1,266700,268800,false,true
0,268800,270900,false,true
1,268800,270900,false,true
0,270900,273000,false,true
1,270900,273000,false,true
0,273000,275100,false,true
1,273000,275100,false,true
0,275100,277200,false,true
1,275100,277200,false,true
0,277200,279300,false,true
1,277200,279300,false,true
0,279300,281400,false,true
1,279300,281400,false,true
2,1392916,1579982,false,false
1,1297997,1476064,false,false
0,1364940,1544506,false,false
1,1476064,1652630,false,false
0,281400,283500,false,true
1,281400,283500,false,true
0,283500,285600,false,true
1,283500,285600,false,true
0,285600,287700,false,true
1,285600,287700,false,true
0,287700,289800,false,true
1,287700,289800,false,true
0,289800,291900,false,true
1,289800,291900,false,true
0,291900,294000,false,true
1,291900,294000,false,true
0,294000,296100,false,true
1,294000,296100,false,true
0,296100,298200,false,true
1,296100,298200,false,true
0,298200,300300,false,true
1,298200,300300,false,true
0,300300,302400,false,true
1,300300,302400,false,true
0,302400,304500,false,true
1,302400,304500,false,true
0,304500,306600,false,true
1,304500,306600,false,true
0,306600,308700,false,true
1,306600,308700,false,true
0,308700,310800,false,true
1,308700,310800,false,true
0,310800,312900,false,true
1,310800,312900,false,true
0,312900,315000,false,true
1,312900,315000,false,true
0,315000,317100,false,true
2,1579982,1767049,false,false
3,1505657,1688223,false,false
1,315000,317100,false,true
0,1544506,1721072,false,false
0,317100,319200,false,true
1,317100,319200,false,true
0,319200,321300,false,true
1,319200,321300,false,true
0,321300,323400,false,true
1,321300,323400,false,true
0,323400,325500,false,true
1,323400,325500,false,true
0,325500,327600,false,true
1,325500,327600,false,true
0,327600,329700,false,true
1,327600,329700,false,true
0,329700,331800,false,true
1,329700,331800,false,true
0,331800,333900,false,true
1,331800,333900,false,true
0,333900,336000,false,true
1,333900,336000,false,true
0,336000,338100,false,true
1,336000,338100,false,true
0,338100,340200,false,true
1,338100,340200,false,true
0,340200,342300,false,true
1,340200,342300,false,true
0,342300,344400,false,true
1,342300,344400,false,true
0,344400,346500,false,true
1,344400,346500,false,true
1,1652630,1832196,false,false
3,1688223,1873788,false,false
0,1721072,1920137,false,false
2,1767049,1775862,false,false
2,1775862,1889776,true,false
1,1832196,2016260,false,false
2,1889776,1935785,true,false
3,1873788,1917600,false,false
3,1917600,2031536,false,false
0,346500,348600,false,true
1,346500,348600,false,true
0,348600,350700,false,true
1,348600,350700,false,true
0,350700,352800,false,true
1,350700,352800,false,true
0,352800,354900,false,true
1,352800,354900,false,true
0,354900,357000,false,true
1,354900,357000,false,true
0,357000,359100,false,true
1,357000,359100,false,true
0,359100,361200,false,true
1,359100,361200,false,true
0,361200,363300,false,true
1,361200,363300,false,true
0,363300,365400,false,true
1,363300,365400,false,true
0,365400,367500,false,true
1,365400,367500,false,true
0,367500,369600,false,true
1,367500,369600,false,true
0,369600,371700,false,true
1,369600,371700,false,true
0,371700,373800,false,true
1,371700,373800,false,true
0,373800,375900,false,true
1,373800,375900,false,true
0,375900,378000,false,true
1,375900,378000,false,true
0,378000,380100,false,true
1,378000,380100,false,true
0,380100,382200,false,true
1,2016260,2203323,false,false
0,1920137,1956409,false,false
2,1935785,1981794,true,false
0,1956409,2019975,false,false
2,1981794,2014183,false,false
2,2014183,2060192,true,false
0,2019975,2038448,false,false
3,2031536,2220102,false,false
0,2038448,2212013,false,false
1,380100,382200,false,true
0,382200,384300,false,true
1,382200,384300,false,true
0,384300,386400,false,true
1,384300,386400,false,true
0,386400,388500,false,true
1,386400,388500,false,true
0,388500,390600,false,true
1,388500,390600,false,true
